id:332,x:0.5898216962814331,y:0.2914403975009918
id:333,x:0.5841010212898254,y:0.2983136475086212
id:334,x:0.5750629901885986,y:0.30621519684791565
id:335,x:0.5565707087516785,y:0.3916703164577484
id:336,x:0.5382341742515564,y:0.30822882056236267
id:337,x:0.5426545143127441,y:0.29747509956359863
id:338,x:0.5455272197723389,y:0.2860645651817322
id:339,x:0.5817286968231201,y:0.3326873183250427
id:340,x:0.6031474471092224,y:0.3365284502506256
id:341,x:0.5460655093193054,y:0.3323093354701996
id:342,x:0.5918901562690735,y:0.3233620226383209
id:343,x:0.5406854748725891,y:0.3385857343673706
id:344,x:0.5406395792961121,y:0.35634347796440125
id:345,x:0.6124569177627563,y:0.3393111526966095
id:346,x:0.5983026027679443,y:0.3403241038322449
id:347,x:0.587879478931427,y:0.3424968719482422
id:348,x:0.5714464783668518,y:0.34243419766426086
id:349,x:0.5588987469673157,y:0.34094688296318054
id:350,x:0.5493660569190979,y:0.33894413709640503
id:351,x:0.5283081531524658,y:0.33228668570518494
id:352,x:0.6112052798271179,y:0.3501981198787689
id:353,x:0.5984047651290894,y:0.32223010063171387
id:354,x:0.5237330198287964,y:0.3625105023384094
id:355,x:0.5457805395126343,y:0.34696224331855774
id:356,x:0.6240527629852295,y:0.3278193175792694
id:357,x:0.5420294404029846,y:0.3364315629005432
id:358,x:0.5504522919654846,y:0.35755977034568787
id:359,x:0.5876716375350952,y:0.32746875286102295
id:360,x:0.5414535403251648,y:0.3529073894023895
id:361,x:0.6201754808425903,y:0.36254367232322693
id:362,x:0.545312225818634,y:0.3304920196533203
id:363,x:0.5340717434883118,y:0.35019803047180176
id:364,x:0.592029869556427,y:0.38967233896255493
id:365,x:0.5932151675224304,y:0.39449042081832886
id:366,x:0.6207956671714783,y:0.3503950238227844
id:367,x:0.602948784828186,y:0.38231927156448364
id:368,x:0.614475429058075,y:0.31877684593200684
id:369,x:0.5581396818161011,y:0.40749645233154297
id:370,x:0.5233696103096008,y:0.36351844668388367
id:371,x:0.5538181662559509,y:0.3505203425884247
id:372,x:0.6097738742828369,y:0.3297536373138428
id:373,x:0.57383131980896,y:0.3311369717121124
id:374,x:0.5670210719108582,y:0.3317943215370178
id:375,x:0.5545859932899475,y:0.3839186429977417
id:376,x:0.6095513105392456,y:0.360364705324173
id:377,x:0.5439841747283936,y:0.414200097322464
id:378,x:0.5692153573036194,y:0.40630388259887695
id:379,x:0.580261766910553,y:0.4014393985271454
id:380,x:0.5598717331886292,y:0.3317086100578308
id:381,x:0.5527043342590332,y:0.3311997950077057
id:382,x:0.5478309392929077,y:0.3309636414051056
id:383,x:0.604480504989624,y:0.3207429051399231
id:384,x:0.5529575347900391,y:0.3257812559604645
id:385,x:0.5601996779441833,y:0.3236308991909027
id:386,x:0.5675534009933472,y:0.32309791445732117
id:387,x:0.5748124122619629,y:0.3238653242588043
id:388,x:0.5793328881263733,y:0.32531651854515076
id:389,x:0.6202841997146606,y:0.31625568866729736
id:390,x:0.5782570242881775,y:0.3301204741001129
id:391,x:0.5490008592605591,y:0.3702676594257355
id:392,x:0.5396872162818909,y:0.36028745770454407
